"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
1,"21431.02","01323","0","1","0"
0,"21439.04","01323","0","1","0"
0,"21439.05","01323","0","1","0"
0,"21439.9","01323","0","1","0"
0,"F0623","01323","0","1","0"
1,"21439.01","01324","0","1","0"
0,"21439.04","01324","0","1","0"
0,"21439.05","01324","0","1","0"
0,"21439.9","01324","0","1","0"
0,"F0623","01324","0","1","0"
1,"21439.02","01322","0","1","0"
1,"21439.03","01322","0","1","0"
0,"21439.04","01322","0","1","0"
0,"21439.05","01322","0","1","0"
0,"21439.9","01322","0","1","0"
0,"F0623","01322","0","1","0"
1,"21432","01321","0","1","0"
1,"21432.01","01321","0","1","0"
0,"21439.04","01321","0","1","0"
0,"21439.05","01321","0","1","0"
0,"21439.9","01321","0","1","0"
0,"F0623","01321","0","1","0"
1,"21439.04","01329","0","1","0"
1,"21439.05","01329","0","1","0"
0,"21439.9","01329","0","1","0"
0,"F0623","01329","0","1","0"
1,"24230.03","01341","0","1","0"
1,"21435.01","01341","0","1","0"
1,"21435.02","01341","0","1","0"
0,"21419.05","01341","0","1","0"
0,"21439.9","01341","0","1","0"
0,"F0623","01341","0","1","0"
0,"23670.02","01341","0","1","0"
0,"23991.03","01341","0","1","0"
0,"24110","01341","0","1","0"
0,"2413","01341","0","1","0"
0,"24230.03","01342.01","0","1","0"
0,"21419.05","01342.01","0","1","0"
0,"21439.9","01342.01","0","1","0"
0,"F0623","01342.01","0","1","0"
0,"23670.02","01342.01","0","1","0"
0,"23991.03","01342.01","0","1","0"
0,"2413","01342.01","0","1","0"
0,"F0623","01342.02","0","1","0"
1,"21419.01","01343","0","1","0"
0,"F0623","01343","0","1","0"
0,"23670.02","01343","0","1","0"
0,"23991.03","01343","0","1","0"
0,"24110","01343","0","1","0"
0,"2413","01343","0","1","0"
0,"21439.9","01344.01","0","1","0"
0,"F0623","01344.01","0","1","0"
0,"2413","01344.01","0","1","0"
0,"21419.05","01344.02","0","1","0"
0,"21439.9","01344.02","0","1","0"
0,"F0623","01344.02","0","1","0"
0,"23670.02","01344.02","0","1","0"
0,"23991.03","01344.02","0","1","0"
0,"2413","01344.02","0","1","0"
0,"21419.05","01345","0","1","0"
0,"21439.9","01345","0","1","0"
0,"F0623","01345","0","1","0"
0,"23670.02","01345","0","1","0"
0,"23991.03","01345","0","1","0"
0,"2413","01345","0","1","0"
1,"21412","01346","0","1","0"
1,"21439.06","01346","0","1","0"
1,"21439.07","01346","0","1","0"
0,"F0623","01346","0","1","0"
1,"23670.02","01346","0","1","0"
1,"23991.03","01346","0","1","0"
0,"24110","01346","0","1","0"
0,"2413","01346","0","1","0"
0,"21419.05","01349.20","0","1","0"
0,"21439.9","01349.20","0","1","0"
0,"F0623","01349.20","0","1","0"
0,"2413","01349.20","0","1","0"
0,"24230.03","01349.10","0","1","0"
0,"21419.05","01349.10","0","1","0"
0,"21439.9","01349.10","0","1","0"
0,"F0623","01349.10","0","1","0"
0,"2413","01349.10","0","1","0"
0,"F0623","01354","0","1","0"
0,"2413","01354","0","1","0"
0,"21439.9","01353.01","0","1","0"
0,"F0623","01353.01","0","1","0"
0,"2413","01353.01","0","1","0"
0,"21439.9","01351.01","0","1","0"
0,"F0623","01351.01","0","1","0"
0,"2413","01351.01","0","1","0"
0,"21439.9","01351.02","0","1","0"
0,"F0623","01351.02","0","1","0"
0,"2413","01351.02","0","1","0"
0,"21439.9","01355.01","0","1","0"
0,"F0623","01355.01","0","1","0"
0,"2413","01355.01","0","1","0"
0,"21439.9","01355.02","0","1","0"
0,"F0623","01355.02","0","1","0"
0,"2413","01355.02","0","1","0"
0,"21439.9","01355.90","0","1","0"
0,"F0623","01355.90","0","1","0"
0,"2413","01355.90","0","1","0"
1,"21411","01330","0","1","0"
1,"21434","01330","0","1","0"
0,"24212.01","01330","0","1","0"
1,"39160","01330","0","1","0"
1,"24212.01","01330","0","1","0"
1,"39160","01330","0","1","0"
1,"24212.01","01330","0","1","0"
1,"39160","01330","0","1","0"
1,"24212.02","01330","0","1","0"
1,"39160","01330","0","1","0"
1,"24212.02","01330","0","1","0"
0,"24212.02","01330","0","1","0"
0,"F0623","01330","0","1","0"
0,"2413","01330","0","1","0"
0,"21434","24212.01","0","1","0"
0,"24212.02","24212.01","0","1","0"
0,"2413","24212.01","0","1","0"
1,"24220","24212.02","0","1","0"
0,"2413","24212.02","0","1","0"
0,"24110","39160","0","1","0"
0,"2413","39160","0","1","0"
0,"24110","01221","0","1","0"
0,"2413","01221","0","1","0"
0,"21439.9","01229","0","1","0"
0,"2413","01229","0","1","0"
1,"21419.02","01315","0","1","0"
0,"21419.05","01315","0","1","0"
0,"F0623","01315","0","1","0"
0,"24110","01315","0","1","0"
0,"2413","01315","0","1","0"
1,"21499.01","01316","0","1","0"
1,"21439.08","01316","0","1","0"
1,"21499.01","01316","0","1","0"
1,"21439.08","01316","0","1","0"
0,"21439.9","01316","0","1","0"
